index,cluster
228_CD8_NAIVE,8
229_CD8_NAIVE,8
230_CD8_NAIVE,8
231_CD8_NAIVE,8
232_CD8_NAIVE,8
233_CD8_NAIVE,8
234_CD8_NAIVE,8
235_CD8_NAIVE,8
236_CD8_NAIVE,8
237_CD8_NAIVE,8
238_CD8_NAIVE,8
239_CD8_NAIVE,8
240_CD8_NAIVE,8
241_CD8_NAIVE,8
242_CD8_NAIVE,8
243_CD8_NAIVE,8
244_CD8_NAIVE,8
245_CD8_NAIVE,8
246_CD8_NAIVE,8
247_CD8_NAIVE,8
248_CD8_NAIVE,8
249_CD8_NAIVE,8
0_TREG_NAIVE,2
1_TREG_NAIVE,2
2_TREG_NAIVE,2
3_TREG_NAIVE,2
4_TREG_NAIVE,2
5_TREG_NAIVE,2
6_TREG_NAIVE,2
7_TREG_NAIVE,2
8_TREG_NAIVE,2
9_TREG_NAIVE,2
10_TREG_NAIVE,2
11_TREG_NAIVE,2
12_TREG_NAIVE,2
13_TREG_NAIVE,2
14_TREG_NAIVE,2
15_TREG_NAIVE,2
16_TREG_NAIVE,2
17_TREG_NAIVE,2
18_TREG_NAIVE,2
19_TREG_NAIVE,2
20_TREG_NAIVE,2
21_TREG_NAIVE,2
22_TREG_NAIVE,2
23_TREG_NAIVE,2
24_TREG_NAIVE,2
25_TREG_NAIVE,2
26_TREG_NAIVE,2
27_TREG_NAIVE,2
28_TREG_NAIVE,2
29_TREG_NAIVE,2
30_TREG_NAIVE,2
31_TREG_NAIVE,2
32_TREG_NAIVE,2
33_TREG_NAIVE,2
34_TREG_NAIVE,2
35_TREG_NAIVE,2
36_TREG_NAIVE,2
37_TREG_NAIVE,2
38_TREG_NAIVE,2
39_TREG_NAIVE,2
40_TREG_NAIVE,2
41_TREG_NAIVE,2
42_TREG_NAIVE,2
43_TREG_NAIVE,2
44_TREG_NAIVE,2
45_TREG_NAIVE,2
46_TREG_NAIVE,2
47_TREG_NAIVE,2
48_TREG_NAIVE,2
49_TREG_NAIVE,2
50_TREG_NAIVE,2
51_TREG_NAIVE,2
52_TREG_NAIVE,2
53_TREG_NAIVE,2
54_TREG_NAIVE,2
55_TREG_NAIVE,2
56_TREG_NAIVE,2
57_TREG_NAIVE,2
58_TREG_NAIVE,2
59_TREG_NAIVE,2
60_TREG_NAIVE,2
61_TREG_NAIVE,2
62_TREG_NAIVE,2
63_TREG_NAIVE,2
64_TREG_NAIVE,2
65_TREG_NAIVE,2
66_TREG_NAIVE,2
67_TREG_NAIVE,2
68_TREG_NAIVE,2
69_TREG_NAIVE,2
70_TREG_NAIVE,2
71_TREG_NAIVE,2
72_TREG_NAIVE,2
73_TREG_NAIVE,2
74_TREG_NAIVE,2
75_TREG_NAIVE,2
76_TREG_NAIVE,2
77_TREG_NAIVE,2
78_TREG_NAIVE,2
79_TREG_NAIVE,2
80_TREG_NAIVE,2
81_TREG_NAIVE,2
82_TREG_NAIVE,2
83_TREG_NAIVE,2
84_TREG_NAIVE,2
85_TREG_NAIVE,2
86_TREG_NAIVE,2
87_TREG_NAIVE,2
88_TREG_NAIVE,2
89_TREG_NAIVE,2
90_TREG_NAIVE,2
91_TREG_NAIVE,2
92_TREG_NAIVE,2
93_TREG_NAIVE,2
94_TREG_NAIVE,2
95_TREG_NAIVE,2
96_TREG_NAIVE,2
97_TREG_NAIVE,2
98_TREG_NAIVE,2
99_TREG_NAIVE,2
100_TREG_NAIVE,2
101_TREG_NAIVE,2
102_TREG_NAIVE,2
103_TREG_NAIVE,2
104_TREG_NAIVE,2
105_TREG_NAIVE,2
106_TREG_NAIVE,2
107_TREG_NAIVE,2
108_TREG_NAIVE,2
109_TREG_NAIVE,2
110_TREG_NAIVE,2
111_TREG_NAIVE,2
112_TREG_NAIVE,2
113_TREG_NAIVE,2
114_TREG_NAIVE,2
115_TREG_NAIVE,2
116_TREG_NAIVE,2
117_TREG_NAIVE,2
118_TREG_NAIVE,2
119_TREG_NAIVE,2
120_TREG_NAIVE,2
121_TREG_NAIVE,2
122_TREG_NAIVE,2
123_TREG_NAIVE,2
124_TREG_NAIVE,2
125_TREG_NAIVE,2
126_TREG_NAIVE,2
127_TREG_NAIVE,2
128_TREG_NAIVE,2
129_TREG_NAIVE,2
130_TREG_NAIVE,2
131_TREG_NAIVE,2
132_TREG_NAIVE,2
133_TREG_NAIVE,2
134_TREG_NAIVE,2
135_TREG_NAIVE,2
136_TREG_NAIVE,2
137_TREG_NAIVE,2
138_TREG_NAIVE,2
139_TREG_NAIVE,2
140_TREG_NAIVE,2
141_TREG_NAIVE,2
142_TREG_NAIVE,2
143_TREG_NAIVE,2
144_TREG_NAIVE,2
145_TREG_NAIVE,2
146_TREG_NAIVE,2
147_TREG_NAIVE,2
148_TREG_NAIVE,2
149_TREG_NAIVE,2
150_TREG_NAIVE,2
151_TREG_NAIVE,2
152_TREG_NAIVE,2
153_TREG_NAIVE,2
154_TREG_NAIVE,2
155_TREG_NAIVE,2
156_TREG_NAIVE,2
157_TREG_NAIVE,2
158_TREG_NAIVE,2
159_TREG_NAIVE,2
160_TREG_NAIVE,2
